34,OmbacK,32,46,409095,45
54,Pipinf,32,56,458452,32
58,lordtony,3,2,4273,511
190,DRUIDA,27,25,193364,139
214,-JAG-,219,0,0,898
266,Emperador+Salvia,38,14,93226,265
644,tirsu,98,16,145716,194
645,COPE,3,1,288,692
760,Morpheo22,0,1,207,708
813,STCG,22,4,6025,479
1031,SANT0,27,35,271978,84
1344,MANUELOSKI,0,1,26,798
1486,3duardo0,80,35,225956,109
1488,victormarra,193,0,0,899
1560,Lord+Andrew,80,2,11524,433
1659,Lagash,0,1,5532,484
1871,parris,0,2,2741,553
1924,Bejerano,0,1,26,799
2104,ptlomeoXXX,38,8,35467,352
2426,estoy,22,6,12905,428
2466,el+ultimo+mohicano,2,2,7022,467
2869,Jiru,79,17,167334,168
3138,Atreyu,80,22,96920,259
3257,imperio+matt,3,2,5529,485
3769,Seducer,0,2,13324,423
5112,darkmoon,79,19,176124,159
5206,Black+Rnag,79,19,135613,201
5515,Maldoror,0,0,0,900
5795,Manu,98,5,49211,328
5802,Toni2007,12,1,476,665
6210,cmr24,248,1,3153,537
7269,Non+Stop,27,27,180342,153
7365,qma2,0,1,4187,514
8016,blasfemy,80,29,215541,123
8182,lord+h,0,1,113,741
8934,pepon,80,17,152801,187
9148,godoying,197,2,4546,504
9312,stones,0,1,190,715
10553,wtfmate,0,5,28465,375
10764,skaiman,22,2,5349,489
11280,g4sapphire,135,1,4321,508
13583,Gaarakirian,0,1,26,800
14895,Akon,45,36,209719,126
20146,ELNOR,0,0,0,901
20451,vakeri%C3%B1o,0,1,26,801
21824,ESDILA,168,1,211,706
22529,garbanzete,60,1,387,678
28228,tribuno,0,1,256,698
30277,EscorpioMilo,27,9,24601,382
31243,Maro,0,1,3494,529
31459,Vakna,13,42,345269,57
35585,DarkUri,13,52,372113,54
38188,Piku,32,18,101777,253
47967,el+edu+cagado,13,29,221550,116
49616,Vitrocer%C3%A1mica,13,35,217915,119
51952,fantasmagoria,0,0,0,902
55497,chris+el+magno,80,15,112241,235
58485,polloking,0,1,143,731
58826,Noc+Alty+M%C3%BCller,0,1,26,802
66230,Experto,22,1,3046,541
69545,kamio,0,1,659,647
70135,ebola,80,52,452219,33
70178,Not+Good+at+Being+Bad,135,1,3106,539
75864,charlye,0,1,382,679
